"location_id","address_primary","city","state","zip","zip_suffix","unit_count","bsl_flag","building_type_code","land_use_code","address_confidence_code","county_geoid","block_geoid","h3_9","latitude","longitude"
1296618592,"1701 E E ST","CASPER","WY","82601","2122",1,"False","E",3,"1","56025","560250002002080","8926a2badabffff",42.85666707,-106.30309051
1296625234,"301 E E ST","CASPER","WY","82601","1919",1,"False","E",3,"1","56025","560250002002081","8926a2bad43ffff",42.85620103,-106.32244545
1296617055,"601 E E ST","CASPER","WY","82601","2049",1,"False","E",7,"1","56025","560250002002081","8926a2bad47ffff",42.85633604,-106.31732894
1296630002,"560 N CENTER ST","CASPER","WY","82601","7001",1,"False","E",3,"1","56025","560250002002082","8926a2bad4bffff",42.85616802,-106.32545175
1296617050,"401 E E ST","CASPER","WY","82601","1920",1,"False","E",3,"1","56025","560250002002081","8926a2bad43ffff",42.85653706,-106.32004521
1296622425,"123 W E ST","CASPER","WY","82601","1818",1,"False","E",3,"1","56025","560250002002082","8926a2bad4bffff",42.85584199,-106.32688989
1296627189,"603 N POPLAR ST","CASPER","WY","82601","1647",1,"False","E",3,"1","56025","560250002002091","8926a2ba883ffff",42.85633704,-106.33394550
1296627186,"455 N POPLAR ST","CASPER","WY","82601","1783",1,"False","E",3,"1","56025","560250002002088","8926a2ba88bffff",42.85419682,-106.33621783
1121518944,"2212 WESTOVER RD","GILLETTE","WY","82718","7524",1,"False","E",3,"1","56005","560050005002000","8926a418257ffff",44.29167657,-105.53283949
1121518943,"444 SKYLINE DR","GILLETTE","WY","82718","8449",1,"False","E",3,"1","56005","560050005002020","8926a418257ffff",44.29011242,-105.53387359
1121512715,"2112 WESTOVER RD","GILLETTE","WY","82718","7594",1,"False","E",3,"1","56005","560050005003000","8926a41821bffff",44.29144255,-105.53094020
1121518475,"600 W BOXELDER RD","GILLETTE","WY","82718","5228",1,"False","C",6,"2","56005","560050005003007","8926a418343ffff",44.27742215,-105.51284049
1121506358,"640 N US HIGHWAY 14-16","GILLETTE","WY","82716","2531",1,"False","E",3,"1","56005","560050006001053","8926a41866fffff",44.29945635,-105.52853906
1121506360,"612 N US HIGHWAY 14-16","GILLETTE","WY","82716","2531",1,"False","E",7,"2","56005","560050006001053","8926a4182d7ffff",44.29857126,-105.52828903
1121502270,"724 N COMMERCIAL DR","GILLETTE","WY","82716","2506",1,"False","E",3,"2","56005","560050006001054","8926a41866fffff",44.30062047,-105.52551776
1296730397,"1103 OLD TOWN LN","CHEYENNE","WY","82009","4354",1,"False","E",3,"2","56021","560210013022053","8926ae793cbffff",41.17315272,-104.81006221
1296726685,"700 E CARLSON ST","CHEYENNE","WY","82009","4210",1,"False","E",8,"1","56021","560210013022060","8926ae79227ffff",41.17185659,-104.81810602
1296725638,"4912 RIDGE RD","CHEYENNE","WY","82009","5372",1,"False","E",7,"2","56021","560210014011000","8926ae79e97ffff",41.16339774,-104.76870108
1296728239,"2500 DELL RANGE BLVD","CHEYENNE","WY","82009","5273",1,"False","E",3,"1","56021","560210014011015","8926ae79ec7ffff",41.16044145,-104.77956716
1296728241,"2540 DELL RANGE BLVD","CHEYENNE","WY","82009","5273",1,"False","E",3,"1","56021","560210014011015","8926ae79ec7ffff",41.16052646,-104.77763997
1296698579,"4435 WINDMILL RD","CHEYENNE","WY","82009","5200",1,"False","E",3,"1","56021","560210014011018","8926ae79ec7ffff",41.15962837,-104.77915112
1296698582,"4355 WINDMILL RD","CHEYENNE","WY","82009","5130",1,"False","E",3,"1","56021","560210014011018","8926ae79e13ffff",41.15786019,-104.77709591
1296728232,"2440 DELL RANGE BLVD","CHEYENNE","WY","82009","5178",1,"False","E",3,"1","56021","560210014013011","8926ae79ec7ffff",41.16061747,-104.78115632
1296732949,"1830 DELL RANGE BLVD","CHEYENNE","WY","82009","4949",1,"False","E",3,"1","56021","560210014022017","8926ae79323ffff",41.16065647,-104.79640685
1296732997,"1854 DELL RANGE BLVD","CHEYENNE","WY","82009","4949",1,"False","E",3,"1","56021","560210014022017","8926ae79323ffff",41.16185859,-104.79478468
1296736979,"2044 DELL RANGE BLVD","CHEYENNE","WY","82009","4956",1,"False","E",3,"1","56021","560210014022015","8926ae79337ffff",41.16113752,-104.79037824
